Opis,Kategoria
Zniszczenie poidełka dla ptaków w parku,Wandalizm
Awaria wodociągowa ulica jest całkowicie zalana wodą,Pozostałe (inne)
Zbyt krótki cykl zielonego światła dla pieszych,Zagrożenia dla pieszych i uczestników ruchu
Potrącenie pieszego na pasach przy Rondzie Mogilskim,Wypadki drogowe
Niedziałająca od dłuższego czasu sygnalizacja świetlna,Infrastruktura drogowa i chodniki
Wypadek z udziałem hulajnogi elektrycznej,Wypadki drogowe
Piesi wchodzący na ścieżkę rowerową i blokujący przejazd,Zachowania uczestników ruchu (kierowcy i piesi)
Niedziałający system monitoringu na niebezpiecznym skrzyżowaniu,Infrastruktura drogowa i chodniki
Uszkodzony próg zwalniający jest niebezpieczny,Infrastruktura drogowa i chodniki
Niewłaściwe umiejscowienie znaków drogowych,Zagrożenia dla pieszych i uczestników ruchu
Nieszczelne okna w wieżowcu grożące wypadnięciem,Niebezpieczne sytuacje
Zablokowany odpływ studzienki deszczowej tworzy ogromną kałużę,Pozostałe (inne)
Prośba o zorganizowanie spotkania w sprawie bezpieczeństwa na osiedlu,Pozostałe (inne)
Brak oświetlenia na przejściu dla pieszych,Infrastruktura drogowa i chodniki
Potrącenie pieszego który wtargnął na czerwonym świetle,Wypadki drogowe
Karambol z udziałem kilku samochodów na autostradzie,Wypadki drogowe
Skażenie gleby nieznaną substancją,Zagrożenia biologiczne
Zniszczona wiata przystankowa której dach przecieka,Infrastruktura drogowa i chodniki
Wyjazd ze stacji benzynowej bezpośrednio na pas szybkiego ruchu,Zagrożenia dla pieszych i uczestników ruchu
Zapadnięta studzienka kanalizacyjna na drodze rowerowej,Zagrożenia dla pieszych i uczestników ruchu
Dzik regularnie pojawia się w pobliżu placu zabaw,Zagrożenia biologiczne
Luźno biegający pies wbiegający na jezdnię,Zagrożenia dla pieszych i uczestników ruchu
Niezabezpieczone kontenery na śmieci z których wiatr rozwiewa odpady,Zaśmiecanie i nielegalne wysypiska
Gwałtowne hamowanie bez przyczyny,Zachowania uczestników ruchu (kierowcy i piesi)
Prowadzenie pojazdu będąc wyraźnie zmęczonym lub sennym,Zachowania uczestników ruchu (kierowcy i piesi)
Parkowanie blokujące dostęp do hydrantu przeciwpożarowego,Zachowania uczestników ruchu (kierowcy i piesi)
Wyrywanie kostki brukowej z chodnika,Wandalizm
Prośba o odmalowanie ławek i urządzeń na placu zabaw,Pozostałe (inne)
Brak zatoczki autobusowej autobus zatrzymuje się na pasie ruchu,Infrastruktura drogowa i chodniki
Dzikie wysypisko zużytych strzykawek i igieł,Zagrożenia biologiczne
Zanieczyszczenie wody w stawie i śnięte ryby pływające po powierzchni,Zagrożenia biologiczne
Brakująca kratka ściekowa powoduje zalewanie piwnic podczas deszczu,Infrastruktura drogowa i chodniki
Plaga komarów z powodu zaniedbanych zbiorników wodnych,Pozostałe (inne)
Brak przejścia dla pieszych w okolicy nowego dużego osiedla,Zagrożenia dla pieszych i uczestników ruchu
Karaluchy w bloku mieszkalnym,Zagrożenia biologiczne
Spadające sople lodu z dachu wysokiego budynku,Niebezpieczne sytuacje
Nieuzasadnione używanie sygnałów dźwiękowych,Zachowania uczestników ruchu (kierowcy i piesi)
Pozostawiony bez opieki bagaż na dworcu kolejowym,Niebezpieczne sytuacje
Drzewo z wyraźnie nadłamanym konarem nad ruchliwym chodnikiem,Niebezpieczne sytuacje
Uszkodzone urządzenia na placu zabaw,Wandalizm
Nieuprzątnięte odchody zwierzęce na placu zabaw,Zagrożenia biologiczne
Przeciek gazu w piwnicy budynku mieszkalnego,Niebezpieczne sytuacje
Zarośnięte lub brudne znaki drogowe,Zagrożenia dla pieszych i uczestników ruchu
Wykrycie bakterii E-coli w wodzie z wodociągu,Zagrożenia biologiczne
Brak azylu dla pieszych na długim przejściu,Zagrożenia dla pieszych i uczestników ruchu
Prośba o montaż lustra drogowego na wyjeździe z posesji,Pozostałe (inne)
Zniszczona ławka w Parku Jordana,Wandalizm
Wyciek oleju transformatorowego ze stacji,Zagrożenia biologiczne
Karambol na autostradzie z powodu gęstej mgły,Wypadki drogowe
Wysypywanie popiołu z pieca na trawnik,Zaśmiecanie i nielegalne wysypiska
Ścieżka rowerowa krzyżująca się z drogą w niebezpiecznym miejscu,Zagrożenia dla pieszych i uczestników ruchu
Zdewastowanie budki lęgowej dla ptaków,Wandalizm
Pojazd ciężarowy który wjechał w budynek,Wypadki drogowe
Niezabezpieczone chemikalia rolnicze,Zagrożenia biologiczne
Niezabezpieczony plac budowy na który wchodzą postronne osoby,Niebezpieczne sytuacje
Zanieczyszczona woda pitna z nieznanego źródła,Zagrożenia biologiczne
Uszkodzenie domofonu przy wejściu do bloku,Wandalizm
